,trial_id,sponsor_status,protocol_country,sponsor_country
157,2007-003655-36,Commercial,3.0,Switzerland
158,2007-003702-95,Non-Commercial,1.0,Italy
159,2007-003767-51,Non-Commercial,1.0,United Kingdom
160,2007-003803-11,Non-Commercial,1.0,France
161,2007-003885-16,Commercial,9.0,Netherlands
162,2007-003912-72,Commercial,1.0,United Kingdom
163,2007-003986-42,Non-Commercial,1.0,Germany
164,2007-004139-49,Commercial,1.0,France
165,2007-004226-25,Non-Commercial,1.0,United Kingdom
166,2007-004350-82,Commercial,2.0,United States
167,2007-004483-41,Non-Commercial,1.0,France
168,2007-004612-31,Commercial,1.0,Germany
169,2007-004671-19,Commercial,3.0,United States
170,2007-004675-19,Non-Commercial,1.0,United Kingdom
171,2007-004805-80,Commercial,1.0,United Kingdom
172,2007-005232-81,Non-Commercial,1.0,Netherlands
173,2007-005242-21,Non-Commercial,1.0,United Kingdom
174,2007-005365-35,Commercial,5.0,Germany
175,2007-005702-49,Commercial,1.0,United States
176,2007-005757-28,Commercial,1.0,France
177,2007-005979-34,Non-Commercial,1.0,Spain
178,2007-006033-14,Non-Commercial,2.0,Sweden
179,2007-006168-31,Commercial,11.0,United Kingdom
180,2007-006648-23,Commercial,6.0,Switzerland
181,2007-006692-37,Non-Commercial,1.0,United Kingdom
182,2007-006776-11,Commercial,1.0,Germany
183,2007-007072-42,Non-Commercial,1.0,Netherlands
184,2007-007094-23,Non-Commercial,1.0,United Kingdom
185,2007-007787-25,Non-Commercial,1.0,Italy
186,2007-007940-92,Commercial,5.0,United States
187,2007-007958-54,Non-Commercial,1.0,Austria
188,2008-000083-17,Non-Commercial,1.0,Netherlands
189,2008-000121-19,Non-Commercial,1.0,Germany
190,2008-000245-55,Non-Commercial,1.0,Germany
191,2008-000718-63,Commercial,1.0,Switzerland
192,2008-000725-18,Commercial,1.0,United Kingdom
193,2008-000743-34,Commercial,4.0,United States
194,2008-000787-16,Non-Commercial,1.0,France
195,2008-001329-33,Commercial,3.0,United States
196,2008-001835-36,Commercial,1.0,Hungary
197,2008-001842-19,Non-Commercial,1.0,France
198,2008-001889-81,Commercial,1.0,Japan
199,2008-001892-31,Non-Commercial,1.0,Spain
200,2008-001968-36,Non-Commercial,1.0,United Kingdom
201,2008-002131-32,Non-Commercial,1.0,Italy
202,2008-002134-29,Commercial,1.0,Germany
203,2008-002380-14,Non-Commercial,1.0,France
204,2008-002626-11,Non-Commercial,1.0,Sweden
205,2008-003016-35,Commercial,6.0,Switzerland
206,2008-003327-23,Commercial,6.0,United States
207,2008-003575-47,Commercial,2.0,Switzerland
208,2008-003592-48,Non-Commercial,1.0,Germany
209,2008-003829-16,Non-Commercial,1.0,Germany
210,2008-003832-40,Non-Commercial,1.0,France
211,2008-003839-20,Commercial,1.0,United States
212,2008-004126-16,Commercial,1.0,Finland
213,2008-004387-39,Non-Commercial,1.0,Spain
214,2008-004429-41,Commercial,8.0,France
215,2008-004432-20,Non-Commercial,1.0,Denmark
216,2008-004499-38,Non-Commercial,1.0,United Kingdom
217,2008-004849-28,Commercial,1.0,Denmark
218,2008-005025-11,Commercial,2.0,Germany
219,2008-005086-55,Non-Commercial,1.0,United Kingdom
220,2008-005319-16,Commercial,1.0,Italy
221,2008-005325-10,Non-Commercial,1.0,Netherlands
222,2008-005451-23,Non-Commercial,1.0,Germany
223,2008-005549-46,Non-Commercial,1.0,Denmark
224,2008-005903-25,Commercial,2.0,Germany
225,2008-005925-12,Non-Commercial,1.0,Germany
226,2008-006014-20,Non-Commercial,1.0,Italy
227,2008-006135-12,Non-Commercial,1.0,Germany
228,2008-006794-32,Non-Commercial,1.0,France
229,2008-006866-27,Commercial,0.0,Canada
230,2008-007167-16,Commercial,11.0,Belgium
231,2008-007238-23,Commercial,1.0,Sweden
232,2008-007649-30,Commercial,3.0,United States
233,2008-007712-14,Non-Commercial,1.0,Belgium
234,2008-007987-40,Non-Commercial,1.0,Italy
235,2008-008211-26,Non-Commercial,1.0,Italy
236,2008-008359-40,Commercial,3.0,Switzerland
237,2008-008604-40,Commercial,6.0,Denmark
238,2008-008749-39,Non-Commercial,1.0,Italy
239,2009-009056-20,Non-Commercial,1.0,Austria
240,2009-009858-24,Commercial,9.0,Switzerland
241,2009-009921-28,Non-Commercial,1.0,Italy
242,2009-010112-15,Commercial,1.0,France
243,2009-010186-23,Non-Commercial,1.0,Spain
244,2009-010549-30,Non-Commercial,1.0,Italy
245,2009-010730-21,Commercial,1.0,United States
246,2009-011039-11,Non-Commercial,1.0,Spain
247,2009-011165-85,Non-Commercial,1.0,Spain
248,2009-011276-29,Commercial,1.0,France
249,2009-011279-56,Commercial,1.0,France
250,2009-011556-22,Non-Commercial,1.0,Italy
251,2009-011564-11,Commercial,0.0,United States
252,2009-011582-88,Non-Commercial,1.0,Ireland
253,2009-012102-39,Non-Commercial,1.0,Italy
254,2009-012543-42,Non-Commercial,1.0,Spain
255,2009-012596-94,Non-Commercial,1.0,Spain
256,2009-012658-19,Non-Commercial,1.0,Netherlands
257,2009-013165-25,Commercial,1.0,United Kingdom
258,2009-013222-16,Commercial,14.0,France
259,2009-013469-25,Non-Commercial,1.0,Finland
260,2009-013552-72,Commercial,10.0,United States
261,2009-013856-61,Non-Commercial,1.0,Germany
262,2009-014441-93,Commercial,2.0,Germany
263,2009-014455-68,Non-Commercial,3.0,Netherlands
264,2009-014670-17,Non-Commercial,1.0,Belgium
265,2009-014765-74,Commercial,1.0,Hungary
266,2009-015681-55,Commercial,2.0,United States
267,2009-016090-14,Non-Commercial,1.0,Spain
268,2009-016360-37,Non-Commercial,1.0,Sweden
269,2009-016383-36,Commercial,2.0,Multi-country
270,2009-016733-10,Non-Commercial,1.0,France
271,2009-016760-36,Non-Commercial,1.0,Portugal
