,euctr_results_inc,ctgov_results_inc,isrctn_results_inc,journal_results_inc
316,0,0,0,0
317,1,0,0,0
318,1,0,0,1
319,1,1,0,1
320,0,0,0,1
321,0,0,0,0
322,1,0,0,1
323,0,0,0,1
324,1,1,0,1
325,1,0,0,0
326,0,0,0,0
327,1,1,0,1
328,1,1,0,1
329,1,0,0,1
330,0,0,0,1
331,1,0,1,0
332,1,0,0,0
333,1,0,0,1
334,1,0,1,1
335,0,0,0,1
336,1,1,0,1
337,1,0,0,1
338,1,0,0,0
339,0,0,0,0
340,0,0,0,1
341,1,1,0,1
342,1,1,0,1
343,1,0,0,1
344,0,0,0,0
345,0,0,0,1
346,0,0,0,0
347,1,1,0,1
348,1,1,0,1
349,1,1,0,1
350,1,0,0,1
351,1,0,0,1
352,1,0,0,1
353,0,0,0,0
354,0,1,0,0
355,0,0,0,1
356,0,0,0,1
357,1,1,0,1
358,1,0,0,1
359,0,0,0,0
360,1,1,0,0
361,1,1,0,0
362,0,0,0,0
363,0,0,0,0
364,0,0,0,0
365,0,0,0,0
366,1,1,0,0
367,0,0,0,0
368,0,0,0,0
369,0,1,0,1
370,1,0,0,1
371,1,1,0,1
372,0,0,0,1
373,0,0,0,1
374,1,0,0,1
375,1,1,0,0
376,1,0,0,0
377,0,0,0,1
378,0,0,0,1
379,0,0,0,0
380,1,1,0,1
381,1,0,0,1
382,1,1,0,0
383,0,0,0,1
384,0,0,0,0
385,0,0,0,1
386,0,0,0,0
387,1,1,0,1
388,0,0,0,1
389,1,0,0,0
390,0,0,0,0
391,1,0,0,1
392,0,0,0,1
393,1,1,0,1
394,0,0,0,0
395,1,1,0,1
396,0,0,0,1
397,1,1,0,0
398,1,0,0,0
399,0,0,0,1
400,1,1,0,1
401,1,0,0,0
402,1,1,0,1
403,0,0,0,1
404,1,1,0,1
405,0,1,0,1
406,0,0,0,1
407,1,1,0,1
408,1,0,0,1
409,1,1,0,1
410,0,0,0,1
411,0,0,0,1
412,1,0,0,1
413,0,0,0,0
414,0,0,0,1
415,1,1,0,1
416,0,0,0,1
417,1,0,0,1
418,0,0,0,0
419,0,0,0,1
420,0,0,0,1
421,0,0,0,1
422,0,0,0,1
423,1,0,0,0
424,1,0,0,1
425,1,1,0,0
426,0,0,0,0
427,1,0,0,1
428,1,0,0,1
429,1,0,0,0
430,0,0,0,0
431,0,0,0,0
432,0,0,0,0
433,1,1,0,1
434,0,0,0,1
435,1,0,0,0
436,1,1,0,1
437,1,0,0,1
438,1,0,0,1
439,1,1,0,1
440,0,0,0,1
441,1,1,0,1
442,1,0,0,1
443,1,0,0,1
444,0,1,0,1
445,1,1,0,1
446,0,0,0,0
447,1,1,0,0
448,0,0,0,0
449,1,1,0,1
450,0,0,0,1
451,0,0,0,0
452,0,1,0,1
453,1,1,0,0
454,1,0,0,1
455,0,0,0,1
456,1,1,0,0
457,1,0,0,0
458,1,0,0,0
459,0,0,0,1
460,1,0,0,0
461,0,0,0,0
462,1,0,0,1
463,0,0,0,1
464,0,0,0,0
465,1,1,0,1
466,0,0,0,0
467,0,0,0,0
468,1,1,0,1
469,1,0,0,0
470,0,1,0,0
471,0,0,0,1
472,0,0,0,0
473,0,0,0,0
474,0,0,0,1
475,1,1,0,1
476,0,0,0,0
477,0,0,0,1
478,0,0,0,0
479,1,1,0,1
480,0,0,0,1
481,1,0,0,0
482,1,0,0,0
483,1,1,0,0
484,0,0,0,0
485,1,1,0,1
486,1,0,0,0
487,1,0,0,1
488,1,0,0,1
489,0,0,0,1
490,0,0,0,0
491,1,0,0,0
492,1,0,0,0
493,0,0,0,0
494,0,0,0,1
495,1,0,0,0
496,0,0,0,0
497,1,1,0,1
498,1,1,0,1
499,0,0,0,0
