,euctr_id,euctr_results_inc,euctr_results_date,nct_id,ctgov_results_inc,ctgov_results_date,journal_results_inc,journal_pub_date,min_date,max_date,results_counts,earliest_results,next_result_date,next_result,time_to_second_pub
45,2013-002165-19,0,,NCT01974739,0,,1,2016-12-02,2016-12-02,2016-12-02,1,Journal,2020-12-11,0,1470.0
46,2015-004768-12,1,2018-12-23,NCT02906917,1,2018-09-28,1,2018-11-16,2018-09-28,2018-12-23,3,CTgov,2018-11-16,1,49.0
47,2012-000363-24,0,,NCT01613755,0,,1,2016-03-15,2016-03-15,2016-03-15,1,Journal,2020-12-11,0,1732.0
48,2013-003363-64,1,2018-03-22,NCT01971242,0,,1,2017-08-03,2017-08-03,2018-03-22,2,Journal,2018-03-22,1,231.0
49,2010-024108-84,1,2015-08-07,NCT01410227,1,2016-04-21,1,2015-08-03,2015-08-03,2016-04-21,3,Journal,2015-08-07,1,4.0
50,2014-004454-34,1,2017-10-25,NCT02696148,0,,1,2019-01-17,2017-10-25,2019-01-17,2,EUCTR,2019-01-17,1,449.0
51,2006-000585-36,1,2016-06-24,NCT00758407,0,,0,,2016-06-24,2016-06-24,1,EUCTR,2020-12-11,0,1631.0
52,2014-001644-38,1,2019-07-19,NCT02240121,1,2019-09-10,0,,2019-07-19,2019-09-10,2,EUCTR,2019-09-10,1,53.0
53,2013-000583-29,0,,NCT01816321,0,,1,2017-09-23,2017-09-23,2017-09-23,1,Journal,2020-12-11,0,1175.0
54,2015-002191-25,1,2019-09-25,NCT02548962,1,2019-04-23,0,,2019-04-23,2019-09-25,2,CTgov,2019-09-25,1,155.0
55,2013-001868-40,1,2018-04-11,NCT03529175,0,,1,2020-04-30,2018-04-11,2020-04-30,2,EUCTR,2020-04-30,1,750.0
56,2010-019094-15,1,2019-05-25,NCT01261624,1,2014-04-16,0,,2014-04-16,2019-05-25,2,CTgov,2019-05-25,1,1865.0
57,2006-003191-35,1,2016-12-28,NCT00776321,0,,1,2014-04-22,2014-04-22,2016-12-28,2,Journal,2016-12-28,1,981.0
