,euctr_id,euctr_results_inc,euctr_results_date,nct_id,ctgov_results_inc,ctgov_results_date,journal_results_inc,journal_pub_date,min_date,max_date,results_counts,earliest_results,Unnamed: 0,eudract_number,final_date,inferred,euctr_days,ctg_days,pub_days
41,2011-005622-21,1,2019-09-21,NCT01832675,0,,1,2014-10-28,2014-10-28,2019-09-21,2,Journal,7197,2011-005622-21,2013-01-07,0,2448.0,2895.0,659.0
42,2013-005594-51,0,,,0,,1,2015-01-12,2015-01-12,2015-01-12,1,Journal,3506,2013-005594-51,2015-09-29,1,1900.0,1900.0,-260.0
43,2010-019195-67,0,,,0,,1,2016-10-01,2016-10-01,2016-10-01,1,Journal,12002,2010-019195-67,2015-04-16,1,2066.0,2066.0,534.0
44,2011-001725-24,1,2018-07-07,NCT01478373,1,2015-08-10,1,2017-08-29,2015-08-10,2018-07-07,3,CTgov,3834,2011-001725-24,2014-07-31,0,1437.0,375.0,1125.0
45,2014-003135-19,1,2018-07-19,NCT02291861,1,2018-04-11,1,2017-06-28,2017-06-28,2018-07-19,3,Journal,3172,2014-003135-19,2016-08-19,0,699.0,600.0,313.0
46,2013-001557-27,1,2016-09-30,NCT01821118,1,2016-11-03,1,2019-03-18,2016-09-30,2019-03-18,3,EUCTR,3278,2013-001557-27,2015-09-23,0,373.0,407.0,1272.0
47,2009-016360-37,1,2020-08-26,,0,,0,,2020-08-26,2020-08-26,1,EUCTR,9293,2009-016360-37,2013-02-04,1,2760.0,2867.0,2867.0
48,2014-000042-30,1,2017-12-30,NCT02300558,1,2018-01-12,0,,2017-12-30,2018-01-12,2,EUCTR,16973,2014-000042-30,2017-02-15,0,318.0,331.0,1395.0
49,2011-004559-38,1,2018-05-16,,0,,1,2020-04-27,2018-05-16,2020-04-27,2,EUCTR,24535,2011-004559-38,2017-05-01,0,380.0,1320.0,1092.0
50,2013-002154-67,0,,NCT02056665,0,,1,2018-08-20,2018-08-20,2018-08-20,1,Journal,2651,2013-002154-67,2016-12-24,1,1448.0,1448.0,604.0
51,2014-002841-23,1,2016-08-18,NCT02309320,0,,0,,2016-08-18,2016-08-18,1,EUCTR,3364,2014-002841-23,2016-02-17,0,183.0,1759.0,1759.0
52,2010-018448-15,0,,NCT01106547,0,,1,2014-07-07,2014-07-07,2014-07-07,1,Journal,24832,2010-018448-15,2012-05-21,1,3126.0,3126.0,777.0
53,2010-021150-19,0,,,0,,1,2016-10-31,2016-10-31,2016-10-31,1,Journal,25639,2010-021150-19,2013-10-02,1,2627.0,2627.0,1125.0
54,2011-003832-30,1,2017-08-05,NCT01492101,0,,1,2015-10-22,2015-10-22,2017-08-05,2,Journal,4137,2011-003832-30,2016-04-08,0,484.0,1708.0,-169.0
